speed,tension,temperature,load,vibration,motor_current,acoustic,em_signal,damage_risk,failure_within_30d,damage_type,severity,health_grade,tension_speed_ratio,temp_load_ratio,vibration_current_ratio
2.45,119.26,62.1,994.0,17.09,292.45,75.18,0.551,85.21,0,bearing_failure,critical,F,48.68,62.48,5.84
4.12,94.86,31.87,1536.0,3.47,164.31,53.43,0.323,18.02,0,none,low,B,23.02,20.75,2.11
4.36,82.72,42.0,2001.0,3.95,228.31,56.2,0.372,10.86,0,none,low,B,18.99,20.99,1.73
4.61,86.72,47.01,1960.0,3.5,195.76,62.68,0.113,24.86,0,none,low,B,18.8,23.98,1.79
3.7,92.09,44.45,3406.0,2.65,194.22,58.16,0.394,1.88,0,none,low,A,24.9,13.05,1.37
3.48,76.71,38.68,2245.0,2.97,217.54,66.39,0.121,5.22,0,none,low,A,22.06,17.22,1.37
3.9,76.35,34.5,2145.0,5.24,160.93,61.3,0.266,7.41,0,none,low,A,19.59,16.08,3.26
3.64,85.29,29.8,1510.0,4.14,165.54,46.63,0.219,1.27,0,none,low,A,23.43,19.73,2.5
3.66,98.15,58.44,2656.0,5.78,258.91,75.1,0.558,33.76,0,splice_wear,medium,C,26.83,22.0,2.23
3.82,90.7,33.97,3431.0,3.29,217.36,49.47,0.223,17.49,0,none,low,B,23.76,9.9,1.51
3.33,94.24,43.72,1582.0,2.99,184.68,62.11,0.175,4.61,0,none,low,A,28.28,27.63,1.62
4.07,87.21,29.28,3330.0,3.21,169.18,47.16,0.155,23.37,0,none,low,B,21.42,8.79,1.9
4.29,86.43,37.58,2960.0,1.24,195.28,48.65,0.136,8.55,0,none,low,A,20.14,12.7,0.63
3.24,77.79,49.55,1851.0,1.09,211.07,63.56,0.204,11.62,0,none,low,B,24.04,26.77,0.51
3.12,93.73,47.51,2022.0,1.08,224.67,56.52,0.262,17.1,0,none,low,B,30.04,23.5,0.48
5.36,93.61,47.08,2773.0,5.0,204.17,58.19,0.139,20.28,0,none,low,B,17.46,16.98,2.45
2.55,119.54,65.17,1129.0,10.93,276.41,75.78,0.809,72.79,1,tear,critical,F,46.86,57.73,3.95
5.04,77.05,30.6,2893.0,4.14,220.2,61.91,0.341,7.05,0,none,low,A,15.3,10.58,1.88
4.88,90.17,49.79,2325.0,2.86,212.11,52.84,0.379,21.46,0,none,low,B,18.49,21.41,1.35
4.88,88.86,30.27,3305.0,3.53,216.12,52.36,0.369,9.73,0,none,low,A,18.22,9.16,1.63
5.26,72.28,35.02,3400.0,5.75,195.88,59.53,0.235,7.33,0,none,low,A,13.73,10.3,2.94
4.68,88.81,45.41,3079.0,1.46,189.55,46.32,0.265,11.04,0,none,low,B,18.97,14.75,0.77
2.73,89.29,60.23,3236.0,5.51,205.05,72.62,0.322,53.77,1,abrasion,low,C,32.66,18.61,2.69
5.47,79.36,36.15,3126.0,5.74,228.88,62.33,0.213,2.09,0,none,low,A,14.52,11.57,2.51
1.56,127.19,62.78,1391.0,9.1,282.81,76.13,0.559,64.47,1,tear,high,D,81.5,45.13,3.22
4.0,81.94,29.82,2557.0,3.18,214.17,67.49,0.267,8.07,0,none,low,A,20.48,11.66,1.49
5.31,92.98,33.57,2891.0,1.38,163.3,49.99,0.188,24.9,0,none,low,B,17.5,11.61,0.84
3.96,88.43,48.14,3417.0,1.29,181.56,47.46,0.201,4.24,0,none,low,A,22.33,14.09,0.71
3.97,75.73,33.85,2221.0,2.3,186.26,45.74,0.184,10.28,0,none,low,B,19.07,15.24,1.23
3.68,73.33,29.68,3381.0,3.08,196.49,66.14,0.125,21.92,0,none,low,B,19.94,8.78,1.57
3.41,80.28,45.11,2461.0,5.93,180.14,62.24,0.218,20.73,0,none,low,B,23.53,18.33,3.29
3.16,70.92,30.94,1527.0,1.38,205.34,57.29,0.325,22.83,0,none,low,B,22.45,20.26,0.67
4.82,88.93,36.31,1982.0,2.03,170.12,51.32,0.162,21.96,0,none,low,B,18.47,18.32,1.19
3.04,85.67,54.96,2952.0,9.16,218.47,74.69,0.59,28.09,1,abrasion,medium,C,28.2,18.62,4.19
4.05,89.62,42.07,3110.0,5.52,199.38,67.55,0.282,15.92,0,none,low,B,22.12,13.53,2.77
3.23,88.16,40.04,2402.0,5.55,173.84,57.04,0.309,19.91,0,none,low,B,27.32,16.67,3.19
5.11,89.22,29.46,1592.0,4.1,177.79,49.81,0.274,8.54,0,none,low,A,17.48,18.51,2.31
4.15,84.62,36.81,2895.0,1.9,205.72,54.47,0.362,12.88,0,none,low,B,20.39,12.71,0.92
1.06,124.65,68.63,1217.0,9.29,288.41,85.69,0.678,93.98,0,joint_rupture,high,D,117.64,56.38,3.22
5.0,85.7,29.8,3247.0,5.6,154.89,51.37,0.342,18.71,0,none,low,B,17.14,9.18,3.62
3.52,79.26,38.66,2737.0,2.84,187.0,62.19,0.111,6.31,0,none,low,A,22.5,14.13,1.52
1.78,115.96,62.68,1337.0,13.79,266.97,80.38,0.689,60.76,1,splice_failure,critical,F,65.18,46.88,5.17
3.58,78.57,38.43,2210.0,4.24,188.37,58.44,0.321,13.94,0,none,low,B,21.93,17.39,2.25
4.41,79.47,35.42,3299.0,4.04,169.55,56.46,0.199,23.34,0,none,low,B,18.02,10.74,2.38
3.56,79.13,38.73,3202.0,1.44,214.47,46.28,0.353,1.29,0,none,low,A,22.21,12.1,0.67
4.74,94.93,47.73,2652.0,5.59,150.42,67.43,0.247,18.07,0,none,low,B,20.02,18.0,3.71
1.84,114.3,80.96,1046.0,17.71,299.77,78.99,0.868,80.13,1,joint_rupture,critical,F,62.2,77.4,5.91
3.39,82.03,39.72,1604.0,2.68,160.75,46.46,0.397,8.06,0,none,low,A,24.23,24.77,1.67
3.86,107.81,56.91,2943.0,7.06,220.93,76.73,0.549,58.78,0,splice_wear,low,C,27.91,19.34,3.2
3.95,93.16,43.88,1596.0,4.91,216.24,62.26,0.34,20.63,0,none,low,B,23.6,27.49,2.27
3.59,85.84,47.97,2132.0,3.94,204.64,55.39,0.314,22.49,0,none,low,B,23.92,22.5,1.93
4.35,80.97,40.7,2211.0,2.96,192.55,46.53,0.169,13.57,0,none,low,B,18.62,18.41,1.54
3.83,88.26,43.26,1833.0,5.39,189.63,62.05,0.272,24.94,0,none,low,B,23.03,23.6,2.84
2.45,104.29,65.11,1657.0,13.45,302.82,77.06,0.768,74.4,1,bearing_failure,critical,D,42.63,39.3,4.44
2.96,106.67,59.4,3282.0,8.47,232.56,64.53,0.404,31.36,1,edge_damage,medium,C,36.05,18.1,3.64
4.16,93.68,31.37,2672.0,3.53,198.92,45.42,0.362,23.3,0,none,low,B,22.55,11.74,1.77
4.74,93.06,43.56,1805.0,3.88,198.54,54.76,0.321,23.36,0,none,low,B,19.63,24.13,1.96
2.73,114.55,61.78,2249.0,9.6,252.19,69.34,0.477,38.97,0,abrasion,medium,C,42.01,27.47,3.81
3.17,96.95,55.75,3840.0,6.73,220.82,73.28,0.436,32.86,0,splice_wear,medium,C,30.61,14.52,3.05
4.25,80.47,48.13,2225.0,3.9,200.58,45.3,0.299,4.45,0,none,low,A,18.95,21.63,1.95
3.33,87.56,64.94,3004.0,7.98,204.02,73.5,0.363,56.43,0,abrasion,low,C,26.3,21.61,3.91
4.18,84.12,29.45,3051.0,3.27,191.95,55.14,0.22,13.99,0,none,low,B,20.12,9.65,1.7
3.45,91.54,48.81,2247.0,2.35,201.52,54.4,0.108,3.9,0,none,low,A,26.5,21.73,1.17
0.57,106.66,65.78,1606.0,9.18,257.29,91.0,0.589,84.8,1,joint_rupture,high,F,187.87,40.95,3.57
2.52,128.88,83.61,969.0,12.66,272.68,76.74,0.817,87.96,1,bearing_failure,high,D,51.2,86.26,4.64
4.05,92.32,45.98,2184.0,2.3,180.38,58.58,0.18,15.6,0,none,low,B,22.77,21.06,1.27
4.38,80.9,34.48,3397.0,4.82,161.21,64.97,0.246,22.36,0,none,low,B,18.47,10.15,2.99
2.54,93.06,55.83,3267.0,6.29,208.36,75.03,0.595,43.4,0,splice_wear,low,C,36.57,17.09,3.02
5.29,72.94,40.68,2048.0,3.77,202.11,64.08,0.162,0.27,0,none,low,A,13.8,19.86,1.87
5.25,91.85,41.14,2701.0,4.33,164.03,66.03,0.226,9.58,0,none,low,A,17.49,15.23,2.64
3.12,74.16,44.24,1666.0,4.02,169.63,53.95,0.187,8.89,0,none,low,A,23.79,26.56,2.37
3.63,99.28,58.27,3874.0,8.66,212.9,60.56,0.379,45.83,0,edge_damage,low,C,27.33,15.04,4.07
3.84,89.27,30.35,1650.0,4.64,189.64,60.83,0.23,6.16,0,none,low,A,23.27,18.39,2.45
2.24,108.16,74.76,1233.0,9.82,314.21,77.74,0.975,76.95,0,joint_rupture,critical,F,48.36,60.62,3.13
2.4,121.72,75.93,1977.0,17.13,295.27,88.86,0.526,85.46,0,bearing_failure,high,D,50.77,38.41,5.8
4.42,92.89,28.75,2895.0,2.49,223.95,67.33,0.383,11.86,0,none,low,B,21.02,9.93,1.11
1.3,124.87,60.93,1516.0,11.07,258.44,76.54,0.848,72.92,1,bearing_failure,high,D,96.22,40.2,4.28
2.15,122.14,73.0,1312.0,16.89,279.23,84.24,0.995,60.01,0,joint_rupture,critical,F,56.7,55.64,6.05
1.38,123.02,70.05,1376.0,14.65,311.16,94.68,0.884,75.88,1,tear,high,F,89.35,50.91,4.71
4.17,77.43,46.76,2931.0,3.95,172.18,65.94,0.114,2.74,0,none,low,A,18.57,15.95,2.29
3.31,93.91,45.56,2018.0,3.94,228.59,65.34,0.28,22.59,0,none,low,B,28.36,22.58,1.72
0.66,112.05,80.95,1077.0,16.48,258.42,75.94,0.692,61.4,1,bearing_failure,critical,D,169.14,75.18,6.38
5.42,92.09,48.41,3490.0,1.87,181.7,62.44,0.309,3.85,0,none,low,A,16.98,13.87,1.03
2.95,101.11,56.86,3160.0,5.46,252.65,64.78,0.339,56.11,1,edge_damage,low,C,34.3,17.99,2.16
5.33,88.38,34.19,2005.0,1.03,205.66,46.12,0.26,24.05,0,none,low,B,16.58,17.05,0.5
5.24,94.79,29.35,3266.0,3.58,222.52,58.14,0.299,13.59,0,none,low,B,18.1,8.99,1.61
1.8,126.04,66.13,989.0,10.44,273.38,79.77,0.965,64.02,1,bearing_failure,high,D,69.9,66.88,3.82
0.57,124.77,63.22,1202.0,15.69,261.25,91.36,0.916,79.28,0,bearing_failure,high,F,217.71,52.59,6.01
4.4,72.9,36.29,1518.0,5.09,160.28,51.52,0.106,10.81,0,none,low,B,16.57,23.9,3.18
2.86,107.61,60.78,2348.0,8.85,256.84,62.99,0.531,49.8,0,edge_damage,medium,C,37.64,25.89,3.45
5.13,94.75,42.87,2392.0,4.24,197.55,53.82,0.12,20.54,0,none,low,B,18.47,17.92,2.15
5.05,76.31,28.02,1818.0,3.34,225.54,47.35,0.356,13.18,0,none,low,B,15.12,15.42,1.48
4.18,108.18,49.6,2263.0,9.34,257.79,60.56,0.519,56.83,1,edge_damage,low,C,25.88,21.92,3.62
5.46,80.23,47.67,1960.0,2.07,152.49,59.99,0.211,21.61,0,none,low,B,14.69,24.32,1.35
5.42,74.64,47.11,3053.0,4.85,217.58,62.5,0.288,3.28,0,none,low,A,13.77,15.43,2.23
5.3,85.42,45.52,2463.0,1.59,160.01,60.77,0.229,5.01,0,none,low,A,16.11,18.48,0.99
3.16,84.55,33.92,3095.0,2.55,186.42,45.27,0.122,9.81,0,none,low,A,26.75,10.96,1.37
4.5,77.29,43.29,3220.0,4.9,153.17,56.05,0.131,6.05,0,none,low,A,17.18,13.44,3.2
3.5,103.54,59.05,3119.0,5.05,219.59,69.32,0.326,37.27,0,edge_damage,medium,C,29.6,18.93,2.3
5.44,75.02,43.25,3143.0,1.21,203.63,66.89,0.137,22.41,0,none,low,B,13.78,13.76,0.59
4.54,85.32,34.57,3370.0,5.74,200.02,63.02,0.284,12.11,0,none,low,B,18.79,10.26,2.87
4.38,84.94,45.24,2462.0,1.2,163.12,55.09,0.317,14.83,0,none,low,B,19.38,18.38,0.74
4.2,85.39,35.24,2440.0,4.72,219.75,54.97,0.113,4.04,0,none,low,A,20.34,14.44,2.15
4.63,78.31,39.93,2487.0,1.41,182.26,50.07,0.226,5.09,0,none,low,A,16.9,16.06,0.77
4.42,97.48,61.92,3258.0,8.68,246.06,69.09,0.463,42.99,0,edge_damage,low,C,22.05,19.01,3.53
4.52,84.94,45.45,2810.0,5.96,172.71,53.26,0.215,11.65,0,none,low,B,18.81,16.17,3.45
4.05,97.16,57.04,3265.0,6.86,230.76,67.43,0.321,40.3,0,abrasion,low,C,23.98,17.47,2.97
4.45,86.57,30.1,2804.0,2.56,181.92,64.73,0.103,14.71,0,none,low,B,19.46,10.73,1.41
3.99,75.93,33.16,3267.0,3.21,176.47,55.32,0.301,3.64,0,none,low,A,19.02,10.15,1.82
4.47,93.71,33.56,2219.0,2.9,198.44,53.2,0.26,19.54,0,none,low,B,20.97,15.13,1.46
4.23,101.74,55.8,2068.0,9.93,207.38,64.16,0.316,47.4,0,abrasion,low,C,24.06,26.98,4.79
3.26,84.62,43.14,2295.0,3.4,204.88,45.4,0.197,24.33,0,none,low,B,25.97,18.8,1.66
3.64,83.04,35.54,2564.0,1.63,160.62,48.3,0.382,18.32,0,none,low,B,22.84,13.86,1.01
3.47,88.27,31.44,1969.0,5.82,170.42,60.22,0.394,9.36,0,none,low,A,25.43,15.96,3.41
3.61,90.77,47.02,3037.0,1.57,213.64,66.13,0.28,23.52,0,none,low,B,25.14,15.48,0.73
1.94,110.46,63.98,1526.0,11.86,310.65,94.87,0.876,63.44,1,splice_failure,critical,F,56.85,41.93,3.82
3.82,86.69,45.77,3025.0,4.99,184.85,63.81,0.136,13.61,0,none,low,B,22.71,15.13,2.7
3.81,79.16,36.72,2891.0,2.94,185.9,50.46,0.212,5.68,0,none,low,A,20.77,12.7,1.58
4.51,86.71,41.63,2427.0,2.9,219.07,56.94,0.244,0.64,0,none,low,A,19.23,17.15,1.32
3.95,79.97,40.76,2567.0,4.04,211.19,63.7,0.315,23.89,0,none,low,B,20.24,15.88,1.91
3.49,70.19,42.24,3296.0,2.22,224.16,46.39,0.38,8.79,0,none,low,A,20.11,12.82,0.99
4.21,76.42,34.27,2115.0,5.02,193.13,52.16,0.283,17.9,0,none,low,B,18.13,16.21,2.6
4.03,73.05,31.99,2862.0,1.91,192.01,61.31,0.132,14.18,0,none,low,B,18.11,11.17,0.99
5.41,82.09,45.73,2600.0,1.22,200.65,66.88,0.28,20.48,0,none,low,B,15.18,17.59,0.61
2.92,103.33,53.22,3680.0,9.5,221.21,64.26,0.534,34.62,1,splice_wear,medium,C,35.34,14.46,4.29
0.87,112.72,63.82,1082.0,16.82,283.1,85.71,0.589,71.87,1,splice_failure,critical,D,128.93,58.97,5.94
3.98,84.86,38.93,3476.0,1.68,205.61,54.3,0.228,17.94,0,none,low,B,21.34,11.2,0.82
5.48,73.21,30.29,2949.0,3.89,171.93,46.83,0.126,22.35,0,none,low,B,13.36,10.27,2.26
3.81,75.67,35.81,1639.0,3.6,155.41,63.41,0.17,13.5,0,none,low,B,19.87,21.85,2.31
1.83,109.73,68.33,1603.0,17.95,296.33,86.16,0.865,77.68,0,bearing_failure,critical,F,59.88,42.61,6.06
2.39,105.11,70.24,1307.0,16.4,250.09,81.02,0.991,78.05,1,splice_failure,critical,D,44.03,53.73,6.56
5.48,93.18,39.88,3184.0,3.6,199.89,47.05,0.327,3.19,0,none,low,A,17.0,12.52,1.8
2.27,101.08,67.58,1116.0,12.24,256.13,93.74,0.777,71.61,1,splice_failure,critical,F,44.49,60.57,4.78
4.07,102.24,56.33,2782.0,7.51,223.83,69.72,0.488,48.6,0,edge_damage,medium,C,25.1,20.25,3.35
3.53,90.47,35.1,1546.0,1.77,167.89,67.02,0.272,23.32,0,none,low,B,25.63,22.7,1.05
4.2,77.84,41.34,1778.0,5.49,216.35,52.3,0.386,20.63,0,none,low,B,18.54,23.25,2.54
3.3,81.96,39.13,1965.0,1.4,212.14,47.81,0.278,23.41,0,none,low,B,24.8,19.91,0.66
4.2,85.01,45.35,3205.0,6.82,223.19,70.16,0.358,32.41,0,edge_damage,low,C,20.23,14.15,3.06
3.74,80.76,31.75,1649.0,4.91,171.23,49.09,0.307,15.45,0,none,low,B,21.57,19.25,2.87
3.57,75.82,32.86,1848.0,4.28,217.84,61.66,0.338,10.12,0,none,low,B,21.22,17.78,1.96
3.89,83.14,38.6,1854.0,2.94,227.11,50.72,0.14,10.46,0,none,low,B,21.4,20.82,1.29
2.2,105.69,75.47,1188.0,16.51,294.05,78.98,0.532,61.62,1,tear,critical,D,47.99,63.52,5.61
5.11,72.45,38.74,1800.0,2.62,208.99,55.95,0.213,9.86,0,none,low,A,14.18,21.52,1.26
4.96,92.3,49.02,3074.0,2.58,205.05,55.06,0.176,21.02,0,none,low,B,18.6,15.95,1.26
5.25,81.54,42.02,2819.0,5.48,200.93,59.12,0.12,12.96,0,none,low,B,15.52,14.91,2.73
4.84,82.81,42.97,1583.0,1.42,207.31,46.66,0.121,0.3,0,none,low,A,17.1,27.14,0.69
1.38,108.9,68.74,1730.0,14.95,262.96,78.48,0.549,85.09,1,bearing_failure,critical,F,78.73,39.75,5.69
4.29,92.47,45.21,1956.0,5.88,203.39,45.24,0.177,6.52,0,none,low,A,21.57,23.12,2.89
5.4,81.96,47.71,2144.0,1.63,187.95,47.62,0.246,23.01,0,none,low,B,15.18,22.25,0.87
4.54,73.92,28.96,1722.0,3.99,157.6,53.65,0.265,9.72,0,none,low,A,16.28,16.82,2.53
3.68,93.21,42.87,2492.0,1.06,229.39,60.44,0.195,21.98,0,none,low,B,25.3,17.2,0.46
4.36,85.9,32.86,3457.0,4.74,194.63,49.15,0.116,8.0,0,none,low,A,19.7,9.51,2.44
3.58,106.84,47.16,3371.0,5.46,257.91,68.79,0.345,36.98,0,abrasion,low,C,29.85,13.99,2.12
0.76,104.55,62.34,1493.0,16.89,280.37,78.22,0.779,90.85,1,splice_failure,high,F,136.69,41.77,6.03
4.0,90.0,32.49,2610.0,4.67,199.28,49.32,0.207,19.59,0,none,low,B,22.48,12.45,2.34
3.01,89.02,28.78,2991.0,2.01,226.65,53.46,0.198,3.72,0,none,low,A,29.55,9.62,0.89
5.19,94.91,36.1,2397.0,4.61,220.9,58.64,0.217,10.32,0,none,low,B,18.28,15.06,2.09
3.01,85.49,35.82,3088.0,1.46,197.06,56.06,0.293,1.62,0,none,low,A,28.42,11.6,0.74
4.4,84.02,41.28,2853.0,5.02,171.59,63.98,0.249,1.93,0,none,low,A,19.08,14.47,2.93
3.84,89.62,43.57,3077.0,3.59,185.22,48.39,0.198,10.85,0,none,low,B,23.37,14.16,1.94
3.55,84.96,44.18,3497.0,5.67,201.41,54.69,0.291,19.64,0,none,low,B,23.92,12.64,2.81
4.02,91.0,36.44,2644.0,3.94,164.76,53.33,0.2,0.65,0,none,low,A,22.61,13.79,2.39
5.08,76.83,39.4,2097.0,5.7,170.74,54.88,0.362,21.05,0,none,low,B,15.13,18.78,3.34
5.01,81.45,38.63,1767.0,1.4,208.24,56.42,0.231,18.24,0,none,low,B,16.27,21.86,0.67
3.72,89.06,60.03,3314.0,9.78,204.14,61.03,0.385,34.16,0,edge_damage,medium,C,23.94,18.11,4.79
3.36,110.34,50.36,2313.0,9.27,202.79,71.15,0.469,37.11,0,splice_wear,low,C,32.86,21.78,4.57
3.59,88.31,40.06,1756.0,5.41,181.48,64.04,0.336,15.61,0,none,low,B,24.59,22.82,2.98
5.45,73.62,43.95,1882.0,2.69,174.7,66.78,0.39,4.58,0,none,low,A,13.51,23.35,1.54
4.8,80.45,29.95,2868.0,3.73,228.44,50.23,0.221,13.56,0,none,low,B,16.76,10.45,1.63
2.03,106.78,81.17,1314.0,10.27,296.49,79.32,0.549,92.76,1,splice_failure,critical,F,52.54,61.76,3.46
4.28,90.16,38.1,1604.0,4.93,166.11,50.95,0.149,8.26,0,none,low,A,21.06,23.76,2.97
1.01,126.33,81.99,1845.0,11.15,281.59,94.7,0.886,61.03,0,joint_rupture,high,F,124.81,44.45,3.96
3.98,89.96,36.18,2403.0,2.99,157.47,55.14,0.159,4.67,0,none,low,A,22.62,15.05,1.9
3.89,88.94,34.08,2125.0,4.21,165.67,65.63,0.256,11.19,0,none,low,B,22.85,16.04,2.54
3.42,85.34,35.99,3294.0,1.84,190.56,58.76,0.11,9.09,0,none,low,A,24.99,10.92,0.97
1.28,123.96,84.19,1828.0,10.06,301.78,81.39,0.994,78.44,0,joint_rupture,high,F,96.62,46.05,3.33
5.2,80.69,31.57,1525.0,3.8,192.19,61.55,0.367,1.99,0,none,low,A,15.5,20.7,1.98
4.22,109.57,55.82,3420.0,6.57,228.27,74.79,0.438,37.52,0,splice_wear,medium,C,25.99,16.32,2.88
3.43,87.8,46.17,1701.0,2.2,161.36,53.0,0.235,18.72,0,none,low,B,25.56,27.14,1.36
4.55,78.81,46.51,2443.0,5.9,200.73,47.9,0.303,8.13,0,none,low,A,17.31,19.04,2.94
3.17,74.37,46.83,1954.0,5.19,172.34,59.79,0.308,12.82,0,none,low,B,23.43,23.96,3.01
3.53,70.83,34.69,2806.0,5.69,219.7,62.62,0.337,16.62,0,none,low,B,20.06,12.36,2.59
5.27,86.77,40.33,1722.0,3.24,186.83,64.88,0.264,9.51,0,none,low,A,16.47,23.42,1.73
3.35,86.26,59.8,3836.0,6.4,251.5,65.26,0.573,51.39,1,abrasion,low,C,25.79,15.59,2.54
4.4,85.71,39.72,2770.0,3.25,167.48,47.77,0.121,6.58,0,none,low,A,19.49,14.34,1.94
4.42,77.1,46.14,1648.0,2.13,208.42,58.77,0.119,21.93,0,none,low,B,17.45,27.99,1.02
3.18,114.67,57.52,3063.0,9.19,217.12,67.73,0.38,52.62,0,abrasion,low,C,36.05,18.78,4.23
3.55,82.21,44.23,2550.0,1.16,219.48,46.49,0.387,0.63,0,none,low,A,23.15,17.34,0.53
3.21,92.77,38.22,1775.0,2.7,163.19,48.92,0.384,11.13,0,none,low,B,28.94,21.53,1.66
2.19,103.95,65.85,1744.0,17.74,268.39,80.43,0.736,97.39,1,joint_rupture,critical,F,47.44,37.76,6.61
3.9,81.81,29.0,1780.0,2.38,227.72,52.62,0.245,4.9,0,none,low,A,20.95,16.29,1.05
3.7,75.17,39.36,1511.0,1.04,167.53,45.84,0.132,8.47,0,none,low,A,20.31,26.05,0.62
1.78,108.8,83.29,1276.0,9.78,293.19,77.28,0.673,79.28,1,tear,critical,D,61.07,65.26,3.34
4.13,93.24,31.63,2280.0,4.65,220.58,60.43,0.177,16.87,0,none,low,B,22.59,13.88,2.11
4.8,93.85,43.87,3226.0,1.01,207.41,64.08,0.112,21.79,0,none,low,B,19.57,13.6,0.49
4.66,90.01,42.58,1685.0,3.98,193.97,65.71,0.221,8.03,0,none,low,A,19.3,25.28,2.05
3.79,104.39,62.76,3197.0,7.51,208.33,62.08,0.346,31.01,0,abrasion,medium,C,27.53,19.63,3.61
5.07,94.78,46.04,2890.0,3.66,185.91,46.94,0.22,22.75,0,none,low,B,18.69,15.93,1.97
3.43,109.5,46.35,2775.0,9.26,224.23,61.4,0.463,55.16,0,edge_damage,medium,C,31.89,16.7,4.13
2.79,112.93,67.97,1499.0,12.34,292.08,89.11,0.844,74.23,0,tear,high,F,40.45,45.36,4.23
4.9,93.67,35.47,2534.0,2.89,150.54,53.88,0.338,14.9,0,none,low,B,19.1,14.0,1.92
5.12,83.28,46.52,2660.0,3.8,158.42,48.85,0.392,5.71,0,none,low,A,16.27,17.49,2.4
0.84,102.98,65.22,1911.0,12.73,277.68,81.26,0.574,78.54,0,joint_rupture,high,D,122.67,34.13,4.58
4.28,103.09,61.53,3968.0,6.44,257.67,67.01,0.416,36.91,0,abrasion,low,C,24.1,15.51,2.5
4.35,89.05,46.34,2381.0,2.51,170.75,49.48,0.117,8.56,0,none,low,A,20.45,19.46,1.47
5.42,83.94,35.64,2661.0,1.7,185.52,59.4,0.247,10.04,0,none,low,B,15.5,13.39,0.91
2.06,117.08,75.52,1042.0,12.56,252.76,84.51,0.772,68.65,1,tear,critical,D,56.88,72.5,4.97
4.15,70.95,44.41,2599.0,1.29,204.46,55.74,0.11,24.24,0,none,low,B,17.11,17.09,0.63
0.73,122.64,72.3,1163.0,13.42,286.57,86.25,0.721,83.02,1,splice_failure,critical,D,167.04,62.17,4.68
1.52,124.83,79.11,1488.0,17.6,264.03,77.19,0.927,76.69,1,bearing_failure,critical,D,82.18,53.16,6.67
3.64,70.77,49.37,1941.0,4.67,211.01,66.37,0.109,21.8,0,none,low,B,19.44,25.43,2.21
4.58,86.11,46.04,2167.0,4.67,192.29,63.25,0.397,5.02,0,none,low,A,18.8,21.25,2.43
2.5,86.32,51.84,3266.0,5.35,200.34,76.87,0.547,53.32,1,splice_wear,medium,C,34.47,15.87,2.67
4.0,88.08,34.17,2875.0,1.12,174.49,57.63,0.29,14.43,0,none,low,B,22.03,11.89,0.64
3.02,72.52,47.12,2863.0,1.56,217.37,50.57,0.243,3.63,0,none,low,A,24.05,16.45,0.72
1.03,125.9,70.03,1151.0,10.37,268.63,75.44,0.792,92.0,1,joint_rupture,high,D,122.5,60.84,3.86
3.89,86.2,30.7,3277.0,3.52,185.95,58.47,0.287,1.79,0,none,low,A,22.13,9.37,1.89
3.6,87.85,46.1,3108.0,3.76,191.61,48.29,0.333,6.79,0,none,low,A,24.37,14.83,1.96
3.71,73.35,41.85,1609.0,4.74,175.41,45.0,0.253,1.17,0,none,low,A,19.77,26.02,2.7
